"Letter" "Frequency" "Percentage"
"1" "    A" 24373121 8.1
"2" "    B" 4762938 1.6
"3" "    C" 8982417 3
"4" "    D" 10805580 3.6
"5" "    E" 37907119 12.6
"6" "    F" 7486889 2.5
"7" "    G" 5143059 1.7
"8" "    H" 18058207 6
"9" "    I" 21820970 7.3
"10" "    J" 474021 0.2
"11" "    K" 1720909 0.6
"12" "    L" 11730498 3.9
"13" "    M" 7391366 2.5
"14" "    N" 21402466 7.1
"15" "    O" 23215532 7.7
"16" "    P" 5719422 1.9
"17" "    Q" 297237 0.1
"18" "    R" 17897352 5.9
"19" "    S" 19059775 6.3
"20" "    T" 28691274 9.5
"21" "    U" 8022379 2.7
"22" "    V" 2835696 0.9
"23" "    W" 6505294 2.2
"24" "    X" 562732 0.2
"25" "    Y" 5910495 2
"26" "    Z" 93172 0
